loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,grade,sub_grade,fico_score,dti,application_type,loan_status
6500.0,6500.0,36 months,7.51,202.23,7 years,RENT,28000.0,Not Verified,debt_consolidation,CA,A,A3,722.0,7.5,Individual,Fully Paid
2800.0,2800.0,36 months,6.03,85.22,7 years,MORTGAGE,55000.0,Not Verified,major_purchase,NY,A,A1,802.0,15.23,Individual,Fully Paid
10000.0,10000.0,36 months,6.03,304.36,1 year,RENT,50000.0,Source Verified,moving,GA,A,A1,812.0,4.97,Individual,Fully Paid
30000.0,30000.0,60 months,20.3,799.84,5 years,MORTGAGE,82000.0,Verified,debt_consolidation,NY,E,E5,692.0,13.96,Individual,Fully Paid
8000.0,8000.0,36 months,6.62,245.63,3 years,MORTGAGE,50000.0,Not Verified,debt_consolidation,AL,A,A2,747.0,5.83,Individual,Fully Paid
12000.0,12000.0,60 months,18.64,308.92,10+ years,RENT,61234.0,Verified,debt_consolidation,VA,E,E1,667.0,13.91,Individual,Charged Off
35000.0,35000.0,60 months,12.42,786.01,< 1 year,MORTGAGE,101000.0,Verified,debt_consolidation,VA,B,B4,737.0,18.75,Individual,Fully Paid
30000.0,30000.0,60 months,20.3,799.84,4 years,OWN,180000.0,Verified,debt_consolidation,CA,E,E5,687.0,23.42,Individual,Fully Paid
9000.0,9000.0,36 months,7.51,280.0,3 years,RENT,57240.0,Source Verified,debt_consolidation,HI,A,A3,727.0,21.11,Individual,Fully Paid
3000.0,3000.0,36 months,20.3,111.95,2 years,RENT,43000.0,Not Verified,moving,TX,E,E5,667.0,20.04,Individual,Fully Paid
7925.0,7925.0,36 months,15.27,275.78,4 years,RENT,30000.0,Not Verified,credit_card,OH,C,C4,672.0,23.6,Individual,Fully Paid
18000.0,18000.0,60 months,14.27,421.36,8 years,RENT,36000.0,Verified,debt_consolidation,CA,C,C2,737.0,13.67,Individual,Charged Off
24575.0,24575.0,60 months,20.89,663.32,5 years,RENT,54600.0,Verified,debt_consolidation,NY,F,F1,682.0,22.99,Individual,Charged Off
15000.0,15000.0,60 months,15.27,358.98,9 years,RENT,85000.0,Verified,debt_consolidation,NY,C,C4,717.0,15.2,Individual,Fully Paid
15000.0,15000.0,60 months,17.58,377.49,7 years,RENT,63200.0,Not Verified,debt_consolidation,WI,D,D4,692.0,23.32,Individual,Fully Paid
12000.0,12000.0,36 months,6.62,368.45,9 years,MORTGAGE,105000.0,Source Verified,credit_card,CA,A,A2,737.0,17.83,Individual,Fully Paid
15000.0,15000.0,36 months,14.65,517.42,7 years,MORTGAGE,70000.0,Verified,debt_consolidation,FL,C,C3,687.0,9.98,Individual,Fully Paid
6400.0,6400.0,36 months,11.71,211.69,3 years,RENT,62502.0,Not Verified,credit_card,OR,B,B3,687.0,19.78,Individual,Fully Paid
14125.0,14125.0,60 months,19.42,369.69,2 years,RENT,50620.0,Verified,credit_card,PA,E,E3,667.0,22.78,Individual,Charged Off
4000.0,4000.0,36 months,6.03,121.75,10+ years,MORTGAGE,115000.0,Not Verified,car,TX,A,A1,757.0,2.71,Individual,Fully Paid
35000.0,35000.0,60 months,21.28,952.39,4 years,MORTGAGE,120000.0,Verified,debt_consolidation,CA,F,F2,677.0,11.27,Individual,Fully Paid
14950.0,14950.0,36 months,9.91,481.77,10+ years,MORTGAGE,75000.0,Not Verified,credit_card,SD,B,B1,727.0,19.78,Individual,Fully Paid
16000.0,16000.0,36 months,7.9,500.65,2 years,RENT,53000.0,Verified,debt_consolidation,GA,A,A4,747.0,18.68,Individual,Fully Paid
2500.0,2500.0,36 months,12.69,83.87,10+ years,MORTGAGE,60000.0,Not Verified,other,VA,B,B5,682.0,17.74,Individual,Fully Paid
12000.0,12000.0,60 months,14.65,283.28,4 years,RENT,40000.0,Not Verified,credit_card,TX,C,C3,707.0,12.78,Individual,Fully Paid
15000.0,15000.0,36 months,12.69,503.18,3 years,MORTGAGE,73000.0,Verified,debt_consolidation,FL,B,B5,707.0,15.45,Individual,Fully Paid
1000.0,1000.0,36 months,14.65,34.5,7 years,OWN,56000.0,Not Verified,debt_consolidation,CT,C,C3,672.0,16.66,Individual,Fully Paid
1200.0,1200.0,36 months,13.49,40.72,5 years,MORTGAGE,110000.0,Source Verified,car,MD,C,C1,687.0,12.38,Individual,Fully Paid
16000.0,16000.0,36 months,19.91,593.89,2 years,RENT,45000.0,Source Verified,credit_card,FL,E,E4,667.0,4.69,Individual,Fully Paid
4000.0,4000.0,36 months,11.71,132.31,4 years,OWN,40452.0,Not Verified,debt_consolidation,OH,B,B3,687.0,9.02,Individual,Fully Paid
9450.0,9450.0,60 months,22.06,261.33,2 years,MORTGAGE,70000.0,Verified,small_business,FL,F,F4,667.0,16.51,Individual,Fully Paid
17000.0,17000.0,36 months,13.49,576.82,1 year,OWN,43200.0,Source Verified,other,TX,C,C1,677.0,13.47,Individual,Fully Paid
13600.0,13600.0,60 months,18.64,350.11,10+ years,RENT,67816.0,Verified,credit_card,MN,E,E1,677.0,12.85,Individual,Fully Paid
7200.0,7200.0,36 months,11.71,238.15,6 years,MORTGAGE,26453.0,Not Verified,debt_consolidation,OH,B,B3,697.0,21.55,Individual,Charged Off
17475.0,17475.0,36 months,9.91,563.14,2 years,RENT,40000.0,Source Verified,credit_card,NJ,B,B1,732.0,17.76,Individual,Fully Paid
16000.0,16000.0,36 months,12.42,534.65,4 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,PA,B,B4,722.0,14.67,Individual,Fully Paid
15000.0,15000.0,36 months,14.27,514.64,8 years,MORTGAGE,75000.0,Verified,debt_consolidation,OH,C,C2,677.0,18.13,Individual,Fully Paid
12000.0,12000.0,36 months,11.71,396.92,9 years,RENT,55200.0,Source Verified,debt_consolidation,WA,B,B3,712.0,7.63,Individual,Fully Paid
35000.0,35000.0,60 months,19.03,908.5,10+ years,MORTGAGE,98500.0,Verified,debt_consolidation,VA,E,E2,707.0,24.83,Individual,Fully Paid
12400.0,12400.0,36 months,7.51,385.78,10+ years,MORTGAGE,36800.0,Not Verified,debt_consolidation,AK,A,A3,737.0,5.84,Individual,Fully Paid
2500.0,2500.0,36 months,11.71,82.69,6 years,OWN,61440.0,Not Verified,other,NV,B,B3,702.0,18.34,Individual,Fully Paid
7200.0,7200.0,36 months,7.9,225.29,1 year,RENT,41196.0,Source Verified,other,CA,A,A4,717.0,15.96,Individual,Fully Paid
12000.0,12000.0,60 months,15.27,287.19,3 years,MORTGAGE,64400.0,Verified,debt_consolidation,WA,C,C4,732.0,16.96,Individual,Fully Paid
6000.0,6000.0,36 months,10.65,195.44,4 years,RENT,50000.0,Verified,debt_consolidation,CA,B,B2,692.0,24.79,Individual,Fully Paid
10000.0,10000.0,36 months,11.71,330.76,< 1 year,RENT,33200.0,Source Verified,debt_consolidation,TX,B,B3,697.0,6.43,Individual,Fully Paid
15000.0,15000.0,36 months,8.9,476.3,10+ years,MORTGAGE,95000.0,Verified,debt_consolidation,IL,A,A5,747.0,16.79,Individual,Charged Off
20000.0,20000.0,36 months,16.77,710.77,< 1 year,RENT,82500.0,Verified,debt_consolidation,OH,D,D2,677.0,19.58,Individual,Fully Paid
4000.0,4000.0,36 months,6.03,121.75,1 year,MORTGAGE,87000.0,Verified,home_improvement,MD,A,A1,802.0,3.37,Individual,Fully Paid
14400.0,14400.0,60 months,12.42,323.39,10+ years,MORTGAGE,100000.0,Not Verified,credit_card,CA,B,B4,717.0,9.89,Individual,Fully Paid
12800.0,12800.0,60 months,14.65,302.17,4 years,RENT,39000.0,Source Verified,credit_card,CA,C,C3,717.0,23.48,Individual,Charged Off
12800.0,12800.0,60 months,18.25,326.78,10+ years,RENT,45000.0,Verified,debt_consolidation,TX,D,D5,682.0,20.4,Individual,Fully Paid
12000.0,12000.0,60 months,17.27,299.98,6 years,RENT,34200.0,Source Verified,debt_consolidation,MN,D,D3,682.0,18.07,Individual,Charged Off
10625.0,10625.0,36 months,14.27,364.54,< 1 year,MORTGAGE,51000.0,Verified,debt_consolidation,CA,C,C2,667.0,12.54,Individual,Charged Off
7500.0,7500.0,36 months,7.9,234.68,2 years,RENT,60000.0,Not Verified,debt_consolidation,NC,A,A4,722.0,12.32,Individual,Charged Off
14750.0,14750.0,60 months,13.49,339.32,10+ years,MORTGAGE,64500.0,Verified,debt_consolidation,MO,C,C1,702.0,24.76,Individual,Fully Paid
17500.0,17500.0,36 months,11.71,578.83,2 years,RENT,95950.0,Source Verified,debt_consolidation,CA,B,B3,702.0,6.25,Individual,Fully Paid
16000.0,16000.0,36 months,11.71,529.22,10+ years,MORTGAGE,88000.0,Verified,other,TX,B,B3,712.0,19.95,Individual,Fully Paid
6700.0,6700.0,60 months,15.27,160.35,6 years,RENT,26000.0,Source Verified,small_business,CA,C,C4,722.0,16.43,Individual,Charged Off
7000.0,7000.0,36 months,12.42,233.91,10+ years,RENT,24000.0,Source Verified,credit_card,FL,B,B4,692.0,19.6,Individual,Fully Paid
6625.0,6625.0,36 months,6.62,203.42,10+ years,MORTGAGE,30000.0,Verified,debt_consolidation,MN,A,A2,747.0,19.96,Individual,Fully Paid
12000.0,12000.0,60 months,17.58,301.99,7 years,MORTGAGE,25000.0,Verified,debt_consolidation,WI,D,D4,722.0,11.9,Individual,Charged Off
7000.0,7000.0,36 months,7.9,219.04,10+ years,RENT,48226.0,Not Verified,credit_card,CA,A,A4,707.0,20.5,Individual,Fully Paid
7000.0,7000.0,36 months,11.71,231.54,7 years,MORTGAGE,65000.0,Not Verified,credit_card,NJ,B,B3,682.0,12.7,Individual,Fully Paid
35000.0,35000.0,60 months,11.71,773.44,10+ years,MORTGAGE,100500.0,Verified,credit_card,CO,B,B3,757.0,19.9,Individual,Fully Paid
1000.0,1000.0,36 months,15.27,34.8,6 years,RENT,38000.0,Verified,moving,CA,C,C4,712.0,23.75,Individual,Fully Paid
16000.0,16000.0,36 months,12.69,536.72,5 years,MORTGAGE,34320.0,Verified,debt_consolidation,TX,B,B5,692.0,17.31,Individual,Fully Paid
10000.0,10000.0,36 months,16.77,355.39,10+ years,RENT,52000.0,Verified,debt_consolidation,IL,D,D2,662.0,19.13,Individual,Fully Paid
10500.0,10500.0,60 months,19.42,274.81,4 years,MORTGAGE,50000.0,Verified,home_improvement,WI,E,E3,662.0,6.36,Individual,Fully Paid
25000.0,25000.0,60 months,12.69,564.87,1 year,MORTGAGE,80000.0,Verified,debt_consolidation,MO,B,B5,762.0,19.38,Individual,Fully Paid
3100.0,3100.0,36 months,11.71,102.54,5 years,MORTGAGE,55000.0,Verified,debt_consolidation,CA,B,B3,697.0,14.47,Individual,Fully Paid
25000.0,25000.0,60 months,11.71,552.46,,MORTGAGE,39600.0,Verified,house,NV,B,B3,787.0,8.42,Individual,Fully Paid
2500.0,2500.0,36 months,6.03,76.09,8 years,OWN,48000.0,Not Verified,car,NC,A,A1,767.0,7.75,Individual,Fully Paid
9000.0,9000.0,36 months,13.49,305.38,3 years,RENT,70000.0,Source Verified,credit_card,IL,C,C1,687.0,20.62,Individual,Fully Paid
1600.0,1600.0,36 months,16.29,56.49,1 year,RENT,26000.0,Source Verified,other,WV,D,D1,672.0,17.58,Individual,Fully Paid
10800.0,10800.0,36 months,14.65,372.54,< 1 year,RENT,115000.0,Not Verified,debt_consolidation,CA,C,C3,677.0,7.89,Individual,Fully Paid
20000.0,20000.0,60 months,13.49,460.1,4 years,OWN,75000.0,Verified,debt_consolidation,VA,C,C1,722.0,25.23,Individual,Fully Paid
8000.0,8000.0,36 months,13.49,271.45,10+ years,MORTGAGE,98000.0,Not Verified,credit_card,MA,C,C1,672.0,9.55,Individual,Fully Paid
12000.0,12000.0,60 months,19.42,314.07,10+ years,RENT,37000.0,Source Verified,debt_consolidation,PA,E,E3,662.0,19.52,Individual,Fully Paid
5000.0,5000.0,36 months,6.03,152.18,6 years,MORTGAGE,40000.0,Not Verified,other,MO,A,A1,802.0,1.8,Individual,Fully Paid
6000.0,6000.0,36 months,9.91,193.35,< 1 year,MORTGAGE,63000.0,Verified,credit_card,NC,B,B1,717.0,21.07,Individual,Fully Paid
8600.0,8600.0,36 months,10.65,280.13,8 years,MORTGAGE,40000.0,Not Verified,credit_card,CA,B,B2,717.0,16.05,Individual,Fully Paid
9450.0,9450.0,36 months,16.29,333.59,10+ years,RENT,29000.0,Not Verified,credit_card,KY,D,D1,667.0,15.97,Individual,Fully Paid
5200.0,5200.0,36 months,12.42,173.76,3 years,RENT,36850.0,Source Verified,debt_consolidation,NY,B,B4,682.0,12.11,Individual,Fully Paid
6000.0,6000.0,36 months,8.9,190.52,,MORTGAGE,120000.0,Verified,major_purchase,AL,A,A5,747.0,12.24,Individual,Fully Paid
2800.0,2800.0,36 months,14.65,96.59,,RENT,30000.0,Verified,medical,IL,C,C3,702.0,3.04,Individual,Fully Paid
8500.0,8500.0,36 months,15.27,295.79,5 years,MORTGAGE,53208.0,Source Verified,car,TX,C,C4,677.0,18.65,Individual,Fully Paid
27000.0,27000.0,60 months,19.91,713.99,10+ years,MORTGAGE,98000.0,Verified,debt_consolidation,CO,E,E4,707.0,8.99,Individual,Charged Off
3200.0,3200.0,36 months,13.49,108.58,7 years,RENT,38400.0,Source Verified,debt_consolidation,MI,C,C1,692.0,12.56,Individual,Fully Paid
17050.0,17050.0,36 months,14.27,584.97,7 years,MORTGAGE,40800.0,Verified,credit_card,CT,C,C2,692.0,20.38,Individual,Fully Paid
18000.0,18000.0,60 months,13.49,414.09,9 years,RENT,65000.0,Verified,debt_consolidation,WI,C,C1,727.0,8.79,Individual,Fully Paid
6200.0,6200.0,36 months,12.69,207.98,2 years,RENT,40000.0,Source Verified,debt_consolidation,NY,B,B5,672.0,13.91,Individual,Fully Paid
8000.0,8000.0,36 months,19.42,294.95,< 1 year,MORTGAGE,50000.0,Source Verified,home_improvement,FL,E,E3,672.0,17.54,Individual,Fully Paid
12000.0,12000.0,36 months,13.49,407.17,< 1 year,MORTGAGE,47000.0,Source Verified,debt_consolidation,PA,C,C1,677.0,12.87,Individual,Fully Paid
20000.0,20000.0,60 months,11.71,441.97,7 years,MORTGAGE,45000.0,Verified,debt_consolidation,WV,B,B3,767.0,6.11,Individual,Fully Paid
3000.0,3000.0,36 months,6.62,92.12,3 years,RENT,22800.0,Source Verified,medical,CT,A,A2,752.0,24.95,Individual,Fully Paid
10000.0,10000.0,36 months,15.96,351.38,10+ years,MORTGAGE,80000.0,Verified,home_improvement,CA,C,C5,672.0,24.22,Individual,Charged Off
8000.0,8000.0,36 months,14.65,275.96,3 years,RENT,30188.4,Verified,debt_consolidation,FL,C,C3,687.0,24.49,Individual,Fully Paid
14000.0,14000.0,36 months,9.91,451.15,8 years,MORTGAGE,103000.0,Source Verified,home_improvement,MI,B,B1,732.0,12.97,Individual,Fully Paid
22000.0,22000.0,60 months,16.77,544.04,6 years,RENT,57000.0,Verified,debt_consolidation,NJ,D,D2,702.0,21.81,Individual,Fully Paid
16000.0,16000.0,36 months,14.27,548.95,2 years,RENT,85000.0,Not Verified,debt_consolidation,NJ,C,C2,687.0,16.09,Individual,Fully Paid
4500.0,4500.0,36 months,10.65,146.58,10+ years,MORTGAGE,64800.0,Source Verified,car,WI,B,B2,702.0,8.26,Individual,Fully Paid
8000.0,8000.0,36 months,6.62,245.63,7 years,MORTGAGE,70000.0,Not Verified,home_improvement,NY,A,A2,802.0,7.77,Individual,Fully Paid
5000.0,5000.0,36 months,20.89,188.1,10+ years,RENT,106300.0,Source Verified,debt_consolidation,NY,F,F1,662.0,19.53,Individual,Fully Paid
15000.0,15000.0,36 months,14.27,514.64,4 years,MORTGAGE,31200.0,Verified,debt_consolidation,MD,C,C2,682.0,5.54,Individual,Fully Paid
35000.0,35000.0,60 months,14.27,819.3,10+ years,MORTGAGE,98000.0,Verified,credit_card,IL,C,C2,732.0,17.72,Individual,Fully Paid
16000.0,16000.0,36 months,6.03,486.97,2 years,RENT,35000.0,Not Verified,debt_consolidation,PA,A,A1,782.0,23.52,Individual,Fully Paid
14400.0,14400.0,36 months,14.27,494.05,10+ years,OWN,94104.0,Source Verified,wedding,SD,C,C2,692.0,9.86,Individual,Fully Paid
35000.0,35000.0,36 months,8.9,1111.37,3 years,OWN,277000.0,Source Verified,other,VA,A,A5,782.0,3.3,Individual,Fully Paid
17000.0,17000.0,36 months,9.91,547.83,1 year,MORTGAGE,65000.0,Verified,debt_consolidation,NC,B,B1,727.0,19.99,Individual,Fully Paid
15000.0,15000.0,60 months,15.27,358.98,2 years,MORTGAGE,64000.0,Not Verified,debt_consolidation,PA,C,C4,722.0,19.69,Individual,Fully Paid
5600.0,5600.0,36 months,7.9,175.23,1 year,RENT,36000.0,Not Verified,debt_consolidation,SC,A,A4,732.0,12.32,Individual,Fully Paid
9000.0,9000.0,36 months,15.96,316.24,4 years,RENT,54000.0,Not Verified,debt_consolidation,CA,C,C5,687.0,8.27,Individual,Fully Paid
9000.0,9000.0,36 months,12.42,300.74,3 years,MORTGAGE,48000.0,Not Verified,credit_card,MO,B,B4,702.0,18.73,Individual,Fully Paid
8800.0,8800.0,36 months,11.71,291.07,3 years,RENT,42000.0,Not Verified,debt_consolidation,MN,B,B3,712.0,19.6,Individual,Fully Paid
8000.0,8000.0,36 months,18.25,290.23,5 years,RENT,45000.0,Verified,debt_consolidation,CA,D,D5,667.0,6.27,Individual,Fully Paid
10000.0,10000.0,36 months,11.71,330.76,6 years,RENT,38000.0,Source Verified,credit_card,CA,B,B3,697.0,19.48,Individual,Fully Paid
12000.0,12000.0,60 months,8.9,248.52,10+ years,MORTGAGE,39996.0,Source Verified,debt_consolidation,SC,A,A5,757.0,5.52,Individual,Charged Off
5000.0,5000.0,36 months,10.65,162.87,10+ years,MORTGAGE,36000.0,Not Verified,debt_consolidation,NC,B,B2,707.0,16.6,Individual,Fully Paid
16000.0,16000.0,36 months,17.27,572.6,4 years,RENT,74999.0,Not Verified,credit_card,CA,D,D3,672.0,19.36,Individual,Fully Paid
1925.0,1925.0,36 months,9.91,62.04,7 years,OWN,69600.0,Not Verified,other,WA,B,B1,722.0,4.79,Individual,Fully Paid
20000.0,20000.0,60 months,15.96,485.94,2 years,RENT,80856.0,Verified,debt_consolidation,WA,C,C5,707.0,11.92,Individual,Fully Paid
4200.0,4200.0,60 months,20.89,113.37,10+ years,MORTGAGE,78000.0,Not Verified,debt_consolidation,MD,F,F1,692.0,14.91,Individual,Fully Paid
15000.0,15000.0,36 months,7.51,466.67,9 years,MORTGAGE,65004.0,Not Verified,other,MO,A,A3,787.0,0.0,Individual,Fully Paid
5200.0,5200.0,36 months,13.49,176.44,< 1 year,RENT,45000.0,Source Verified,wedding,FL,C,C1,677.0,16.77,Individual,Fully Paid
16000.0,16000.0,36 months,15.27,556.77,6 years,RENT,110000.0,Not Verified,credit_card,NY,C,C4,682.0,6.59,Individual,Fully Paid
2700.0,2700.0,36 months,12.69,90.58,6 years,RENT,15000.0,Verified,debt_consolidation,CA,B,B5,692.0,20.64,Individual,Fully Paid
4500.0,4500.0,36 months,11.71,148.85,6 years,MORTGAGE,40000.0,Verified,debt_consolidation,CA,B,B3,677.0,15.87,Individual,Charged Off
2100.0,2100.0,36 months,6.03,63.92,7 years,MORTGAGE,40000.0,Not Verified,renewable_energy,MI,A,A1,807.0,1.2,Individual,Fully Paid
1000.0,1000.0,36 months,12.69,33.55,10+ years,MORTGAGE,70000.0,Verified,other,IL,B,B5,687.0,17.13,Individual,Fully Paid
4000.0,4000.0,60 months,20.3,106.65,10+ years,OWN,55000.0,Source Verified,home_improvement,WA,E,E5,687.0,4.67,Individual,Fully Paid
13000.0,13000.0,36 months,7.9,406.78,3 years,MORTGAGE,42000.0,Verified,debt_consolidation,KY,A,A4,732.0,28.31,Individual,Fully Paid
28000.0,28000.0,60 months,18.64,720.81,< 1 year,MORTGAGE,140000.0,Verified,other,MD,E,E1,702.0,17.76,Individual,Fully Paid
22400.0,22400.0,60 months,18.25,571.87,5 years,MORTGAGE,51000.0,Verified,debt_consolidation,MN,D,D5,682.0,16.0,Individual,Fully Paid
16000.0,16000.0,36 months,6.03,486.97,10+ years,MORTGAGE,150000.0,Verified,medical,TX,A,A1,782.0,9.94,Individual,Fully Paid
30500.0,30500.0,60 months,14.27,713.96,10+ years,MORTGAGE,125000.0,Verified,debt_consolidation,MD,C,C2,727.0,17.2,Individual,Fully Paid
3000.0,3000.0,36 months,8.9,95.26,< 1 year,MORTGAGE,43200.0,Verified,major_purchase,WA,A,A5,702.0,17.78,Individual,Fully Paid
30000.0,30000.0,36 months,9.91,966.75,< 1 year,RENT,220000.0,Verified,small_business,TX,B,B1,752.0,9.4,Individual,Fully Paid
20000.0,20000.0,60 months,12.69,451.9,3 years,MORTGAGE,85000.0,Verified,debt_consolidation,WI,B,B5,737.0,5.9,Individual,Fully Paid
4900.0,4900.0,36 months,6.03,149.14,5 years,MORTGAGE,42000.0,Source Verified,car,MO,A,A1,772.0,12.49,Individual,Fully Paid
12000.0,12000.0,60 months,17.58,301.99,< 1 year,MORTGAGE,75000.0,Source Verified,debt_consolidation,FL,D,D4,677.0,19.41,Individual,Charged Off
20000.0,20000.0,60 months,14.27,468.17,1 year,RENT,120000.0,Source Verified,debt_consolidation,UT,C,C2,727.0,24.5,Individual,Fully Paid
7000.0,7000.0,36 months,15.96,245.97,2 years,RENT,39000.0,Not Verified,debt_consolidation,WI,C,C5,672.0,11.94,Individual,Fully Paid
3600.0,3600.0,36 months,11.71,119.08,4 years,RENT,52000.0,Not Verified,debt_consolidation,FL,B,B3,692.0,18.07,Individual,Fully Paid
13200.0,13200.0,60 months,13.49,303.67,2 years,RENT,42996.0,Verified,other,AZ,C,C1,722.0,4.63,Individual,Fully Paid
6000.0,6000.0,36 months,15.27,208.79,3 years,RENT,20400.0,Source Verified,home_improvement,CA,C,C4,682.0,1.82,Individual,Fully Paid
35000.0,35000.0,36 months,7.9,1095.16,10+ years,MORTGAGE,408000.0,Verified,home_improvement,CA,A,A4,757.0,9.93,Individual,Fully Paid
7000.0,7000.0,36 months,9.91,225.58,8 years,RENT,37440.0,Not Verified,debt_consolidation,FL,B,B1,712.0,19.42,Individual,Fully Paid
35000.0,35000.0,36 months,10.65,1140.07,< 1 year,MORTGAGE,160000.0,Verified,debt_consolidation,NY,B,B2,742.0,9.91,Individual,Fully Paid
21600.0,21600.0,60 months,16.77,534.15,7 years,MORTGAGE,75000.0,Source Verified,debt_consolidation,CT,D,D2,702.0,10.46,Individual,Fully Paid
7000.0,7000.0,36 months,7.9,219.04,4 years,RENT,39000.0,Not Verified,credit_card,NY,A,A4,712.0,15.48,Individual,Charged Off
10500.0,10500.0,36 months,15.96,368.95,10+ years,OWN,45000.0,Verified,home_improvement,MA,C,C5,672.0,21.28,Individual,Charged Off
15575.0,15575.0,36 months,14.27,534.37,< 1 year,RENT,66000.0,Verified,debt_consolidation,NY,C,C2,697.0,23.11,Individual,Fully Paid
14000.0,14000.0,60 months,16.77,346.21,1 year,MORTGAGE,108000.0,Not Verified,debt_consolidation,WI,D,D2,687.0,18.39,Individual,Fully Paid
16000.0,16000.0,36 months,7.9,500.65,3 years,RENT,35500.0,Verified,small_business,AK,A,A4,737.0,6.59,Individual,Fully Paid
3000.0,3000.0,36 months,12.69,100.64,10+ years,RENT,42000.0,Not Verified,debt_consolidation,MD,B,B5,672.0,21.11,Individual,Fully Paid
7200.0,7200.0,36 months,19.03,264.04,5 years,RENT,35000.0,Not Verified,debt_consolidation,FL,E,E2,672.0,16.7,Individual,Charged Off
3200.0,3200.0,36 months,12.42,106.93,10+ years,RENT,38000.0,Not Verified,debt_consolidation,OH,B,B4,687.0,16.58,Individual,Fully Paid
30000.0,30000.0,60 months,19.42,785.17,< 1 year,OWN,150000.0,Verified,debt_consolidation,NY,E,E3,702.0,14.11,Individual,Fully Paid
15600.0,15600.0,36 months,11.71,515.99,10+ years,MORTGAGE,70000.0,Source Verified,debt_consolidation,FL,B,B3,702.0,16.65,Individual,Fully Paid
5600.0,5600.0,60 months,15.27,134.02,1 year,MORTGAGE,51600.0,Not Verified,car,IL,C,C4,697.0,12.56,Individual,Charged Off
3000.0,3000.0,36 months,11.71,99.23,2 years,RENT,37000.0,Source Verified,major_purchase,GA,B,B3,697.0,16.8,Individual,Fully Paid
18000.0,18000.0,36 months,7.9,563.23,10+ years,OWN,55000.0,Verified,debt_consolidation,NY,A,A4,767.0,12.92,Individual,Fully Paid
7200.0,7200.0,36 months,11.71,238.15,5 years,RENT,30000.0,Not Verified,debt_consolidation,IL,B,B3,697.0,11.8,Individual,Fully Paid
16000.0,16000.0,60 months,16.77,395.67,10+ years,MORTGAGE,120000.0,Not Verified,debt_consolidation,HI,D,D2,707.0,16.44,Individual,Fully Paid
3000.0,3000.0,36 months,12.69,100.64,,MORTGAGE,39192.0,Verified,other,OH,B,B5,682.0,22.23,Individual,Charged Off
24000.0,24000.0,60 months,19.03,622.97,1 year,MORTGAGE,65000.0,Verified,debt_consolidation,NC,E,E2,682.0,22.58,Individual,Fully Paid
6000.0,6000.0,36 months,6.03,182.62,10+ years,OWN,50000.0,Not Verified,home_improvement,TX,A,A1,757.0,10.27,Individual,Fully Paid
15000.0,15000.0,60 months,18.25,382.95,7 years,MORTGAGE,45000.0,Source Verified,credit_card,SC,D,D5,682.0,14.35,Individual,Fully Paid
25000.0,25000.0,36 months,12.42,835.39,2 years,MORTGAGE,162480.0,Verified,debt_consolidation,UT,B,B4,707.0,18.46,Individual,Fully Paid
10000.0,10000.0,36 months,6.03,304.36,,MORTGAGE,60000.0,Source Verified,major_purchase,MI,A,A1,792.0,1.7,Individual,Fully Paid
15000.0,15000.0,36 months,6.62,460.56,1 year,MORTGAGE,36000.0,Source Verified,renewable_energy,CA,A,A2,782.0,2.8,Individual,Fully Paid
5000.0,5000.0,60 months,19.91,132.22,2 years,MORTGAGE,97008.0,Verified,other,NC,E,E4,682.0,24.76,Individual,Fully Paid
30000.0,30000.0,36 months,6.62,921.11,< 1 year,RENT,89028.0,Verified,debt_consolidation,DC,A,A2,772.0,18.65,Individual,Fully Paid
5000.0,5000.0,36 months,12.42,167.08,4 years,RENT,22000.0,Verified,debt_consolidation,OH,B,B4,717.0,7.58,Individual,Fully Paid
7500.0,7500.0,36 months,16.77,266.54,2 years,RENT,120000.0,Verified,debt_consolidation,CA,D,D2,702.0,12.84,Individual,Fully Paid
35000.0,35000.0,60 months,12.42,786.01,5 years,MORTGAGE,64620.0,Verified,debt_consolidation,VA,B,B4,737.0,10.05,Individual,Fully Paid
16800.0,16800.0,36 months,6.03,511.32,5 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,MA,A,A1,777.0,12.5,Individual,Fully Paid
35000.0,35000.0,60 months,17.27,874.93,5 years,MORTGAGE,97936.0,Verified,debt_consolidation,VA,D,D3,722.0,23.84,Individual,Charged Off
1800.0,1800.0,36 months,7.51,56.0,10+ years,MORTGAGE,58000.0,Not Verified,car,KY,A,A3,732.0,26.92,Individual,Fully Paid
16000.0,16000.0,36 months,17.27,572.6,10+ years,RENT,63336.0,Source Verified,debt_consolidation,CO,D,D3,677.0,17.24,Individual,Fully Paid
3000.0,3000.0,36 months,12.42,100.25,5 years,RENT,90000.0,Not Verified,other,NJ,B,B4,692.0,6.25,Individual,Fully Paid
5000.0,5000.0,36 months,6.62,153.52,9 years,MORTGAGE,40000.0,Not Verified,other,NC,A,A2,767.0,9.24,Individual,Fully Paid
24000.0,24000.0,60 months,14.65,566.56,10+ years,MORTGAGE,64480.0,Verified,debt_consolidation,MI,C,C3,747.0,21.85,Individual,Charged Off
13000.0,13000.0,36 months,8.9,412.8,< 1 year,RENT,25000.0,Source Verified,debt_consolidation,AK,A,A5,742.0,14.59,Individual,Fully Paid
